iso_639_3,word
afr,Liefde
als,Liebe
amh,ፍቅር
ang,Lufu
arg,Aimor
ara,حب
arz,حب
ast,Amor
azb,عشق
aze,Sevgi
bar,Liab
sgs,Meilė
bak,Мөхәббәт
bel,Каханне
bul,Любов
ben,ভালোবাসা
bod,བརྩེ་དུང་།
bre,Karantez
bos,Ljubav
bxr,Дуран
cat,Amor
cdo,Ái
che,Безам
ckb,خۆشەویستی
cos,Amore
ces,Láska
chv,Юрату
cym,Cariad
dan,Kærlighed
deu,Liebe
ell,Αγάπη
eng,Love
epo,Amo
spa,Amor
est,Armastus
eus,Maitasun
ext,Amol
fas,عشق
fij,Rakkaus
fra,Amour
fry,Leafde
gan,愛
gla,Gràdh
glg,Amor
gug,Mborayhu
gom,Mog
guj,પ્રેમ
hak,Oi
hau,Soyayya
heb,אהבה
hif,Pyar
hin,प्यार
hrv,Ljubav
hun,Szeretet
hye,Սեր
ina,Amor
ind,Cinta
ibo,Ihunanya
ilo,Ayat
isl,Ást
ita,Amore
iku,ᑕᑯᑦᓱᒍᓱᑉᐳᖅ
jam,Lob
jpn,愛
jav,Tresna
kat,სიყვარული
kaz,Махаббат
khm,ស្នេហា
kan,ಪ್ರೀತಿ
kor,사랑
ksh,Leevde
kas,لول
kur,Evîn
kir,Сүйүү
lad,Amor
lat,Amor
ltz,Léift
lij,Amô
lim,Leefde
lmo,Amor
lin,Bolingo
lit,Meilė
lav,Mīlestība
mkd,Љубов
mal,സ്നേഹം
mon,Хайр
mar,प्रेम
msa,Cinta
mlt,Imħabba
mwl,Amor
mya,အချစ်
nah,Tlazohtiliztli
nep,माया
new,मतिना
nld,Liefde
nno,Kjærleik
nob,Kjærlighet
oci,Amor
ori,ପ୍ରେମ
pan,ਪਿਆਰ
pol,Miłość
pms,Amor
pnb,محبت
pus,مينه
por,Amor
que,Khuyay
ron,Dragoste
rue,Любов
rus,Любовь
sah,Таптал
sat,ᱫᱩᱞᱟᱹᱲ
scn,Amuri
sco,Luve
srd,Amore
snd,محبت
hbs,Ljubav
sin,ආදරය
slk,Láska
slv,Ljubezen
som,Jacayl
sqi,Dashuria
srp,Љубав
ssw,Lutsandvo
swe,Kärlek
swa,Pendo
tam,அன்பு
tel,ప్రేమ
tgk,Ишқ
tha,ความรัก
tuk,Söýgi
tgl,Pag-ibig
tur,Aşk
tso,Rirhandzu
tat,Сөю
uig,مۇھاببەت
ukr,Любов
urd,محبت
uzb,Sevgi
vep,Armastuz
vie,Tình yêu
war,Higugma
wln,Amour
wuu,爱
xmf,ჸოროფა
yid,ליבע
zho,愛
